,gen,ref_consol,fun_consol,fun_consol
1262,Oxalophagus,FAPROTAXv1.1,fermentation,
1263,Oxobacter,FAPROTAXv1.1,fermentation,acetogenesis 
1264,Paenibacillaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,xylan
1265,Paenibacillus,"(Graf et al., 2014) , (Antharaman et al., 2016), FAPROTAXv1.1",N2_fix,aerobic_chemoheterotrophy aromatic_hydrocarbon_degradation cellulolysis chitinolysis fermentation invertebrate_parasites nitrate_reduction nitrate_respiration nitrite_respiration nitrogen_fixation plant_pathogen ureolysis xylanolysis   
1266,Paenibacillusanaericanus,FAPROTAXv1.1,fermentation,
1267,Pajaroellobacter,"{Brooks, R. S., et al. (2016)}",parasite,
1268,Paludibacter,"(Ueki et al., 2006), FAPROTAXv1.1",non-N,fermentation              
1269,Paludibaculum,"{Kulichevskaya, I. S., et al. (2014)}",Fe_reduction,Fe3
1270,Pandoraea,FAPROTAXv1.1,ureolysis,
1271,Pannonibacter,FAPROTAXv1.1,aerobic_chemoheterotrophy,"N, urea"
1272,Pantoea,FAPROTAXv1.1,animal_parasites_or_symbionts,arsenate_detoxification human_pathogens_all plant_pathogen              
1273,Parabacteroides,FAPROTAXv1.1,human_gut,
1274,Parachlamydiaceae,FAPROTAXv1.1,intracellular_parasites,
1275,Paracoccidioides,"(Graf et al., 2014)",nirK norB              ,
1276,Paracoccus,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",nirK nirS norB nosZ dark_iron_oxidation dark_sulfide_oxidation dark_sulfur_oxidation dark_thiosulfate_oxidation knallgas_bacteria methanol_oxidation methylotrophy nitrate_denitrification nitrate_respiration   ,
1277,Paracraurococcus,FAPROTAXv1.1,aerobic_chemoheterotrophy,aerobic_anoxygenic_phototrophy
1278,Paraprevotella,FAPROTAXv1.1,fermentation,xylan
1279,Parascardovia,"(Graf et al., 2014), FAPROTAXv1.1",nirK fermentation human_pathogens_all             ,
1280,Parasporobacterium,FAPROTAXv1.1,aromatic_compound_degradation,                
1281,Parcubacteria group,"(Antharaman et al., 2016)",N_cycle aerobic              ,
1282,Parcubacteria_family_Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_02_FULL_50_9b,http://www.uniprot.org/taxonomy/1752731,OD-1,
1283,Parvibaculum,"(Schleheck et al., 2004) (Graf et al., 2014), FAPROTAXv1.1",non-N,degradation
1284,Pasteurella,"(Graf et al., 2014), FAPROTAXv1.1",nirK fumarate_respiration plastic_degradation ureolysis            ,
1285,Pasteurellaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,"parasite, fermentation, N"
1286,Pasteuria,FAPROTAXv1.1,animal_parasites_or_symbionts,                
1287,Pasteuriaceae,FAPROTAXv1.1,invertebrate_parasites,
1288,Patulibacter,FAPROTAXv1.1,denitrification,
1289,Patulibacteraceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1290,Pectinatus,FAPROTAXv1.1,fermentation,
1291,Pectobacterium,FAPROTAXv1.1,DNRA,pathogen
1292,Pediococcus,FAPROTAXv1.1,fermentation,
1293,Pedobacter,"(Steyn et al., 1998) (Graf et al., 2014)",non-N,              
1294,Pedomicrobium,"(Gebers and Beese, 1988), FAPROTAXv1.1",denitrification,Mn
1295,Pedosphaera,"(Kant et al., 2011)",non-N,              
1296,Pelagibaca,FAPROTAXv1.1,aerobic_chemoheterotrophy,"N, urea"
1297,Pelagibacterales,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1298,Pelagicoccus,", FAPROTAXv1.1",OD-1,
1299,Pelagicola,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1300,Pelobacter,", FAPROTAXv1.1",non-N,fermentation iron_respiration sulfur_respiration            
1301,Pelobacteraceae,"(Antharaman et al., 2016)",N_cycle H2_ox H2_prod aerobic            ,
1302,Pelolinea,FAPROTAXv1.1,fermentation,xylan
1303,Pelomonas,FAPROTAXv1.1,H_ox,#REF!
1304,Pelosinus,"(Sheloboli et al., 2007)",non-N,              
1305,Pelotomaculum,"(Imachi et al., 2007) (Imachi et al., 2002), FAPROTAXv1.1",non-N,fermentation plastic_degradation             
1306,Penicillium,"(Graf et al., 2014), FAPROTAXv1.1",nirK fermentation              ,
1307,Peptococcaceae,FAPROTAXv1.1,aromatic_compound_degradation,fermentation iron_respiration sulfate_respiration thiosulfate_respiration             
1308,Peptostreptococcaceae,FAPROTAXv1.1,fermentation,
1309,Peptostreptococcus,FAPROTAXv1.1,fermentation,acetogenesis 
1310,Peredibacter,"(Davidov and Jurkevitch, 2004)",non-N,              
1311,Perlucidibaca,"(Song et al., 2008).",denitrification,
1312,Persephonella,"(Graf et al., 2014), FAPROTAXv1.1",nirS norB nosZ knallgas_bacteria nitrate_denitrification           ,
1313,Persicivirga,FAPROTAXv1.1,xylanolysis,
1314,Persicobacter,FAPROTAXv1.1,chitinolysis,N
1315,Petrimonas,FAPROTAXv1.1,DNRA,fermentation
1316,Petrotoga,FAPROTAXv1.1,fermentation,xylan
1317,Phaeobacter,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB nosZ aerobic_chemoheterotrophy nitrate_respiration           ,
1318,Phaeospirillum,FAPROTAXv1.1,N2_fix,
1319,Phaeovibrio,FAPROTAXv1.1,photoheterotrophy,
1320,Phanerochaete,FAPROTAXv1.1,ligninolysis,Mn
1321,Phascolarctobacterium,"(Del Dot et al., 1993)",non-N,              
1322,Phaselicystis,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1323,Phenylobacterium,"(Lingens et al., 1985) (Graf et al., 2014) , (Antharaman et al., 2016), FAPROTAXv1.1",non-N,aerobic_chemoheterotrophy              
1324,Phocaeicola,"(Graf et al., 2014)",nosZ              ,
1325,Phorcysia,FAPROTAXv1.1,H_ox,#REF!
1326,Photobacterium,"(Jones et al., 2008) , (Graf et al., 2014)",norB nosZ             ,
1327,Photorhabdus,FAPROTAXv1.1,human_pathogens_all,invertebrate_parasites
1328,Phycicoccus,FAPROTAXv1.1,aerobic_chemoheterotrophy,"N, urea"
1329,Phycicola,FAPROTAXv1.1,denitrification,urea 
1330,Phycisphaera,FAPROTAXv1.1,fermentation,
1331,Phycisphaeraceae_family_SM1A02,"{Fukuga, Y., et al. (2009)}",denitrification,
1332,Phyllobacteriaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,"N, urea"
1333,Phyllobacterium,FAPROTAXv1.1,plant_pathogen,
1334,Phytohabitans,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
1335,Picrophilaceae,FAPROTAXv1.1,chemoheterotrophy,chemoheterotrophy
1336,Pilimelia,,non-N,              
1337,Piscicoccus,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
1338,Pisciglobus,FAPROTAXv1.1,aerobic_chemoheterotrophy,fermentation
1339,Piscirickettsia,FAPROTAXv1.1,fish_parasites,
1340,Piscirickettsiaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,varied
1341,Planctomyces,", FAPROTAXv1.1",anammox,Ammox
1342,Planctomycetaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,"N, urea"
1343,planctomycete,"(Graf et al., 2014)",nirK               ,
1344,Planctomycetes,"(Antharaman et al., 2016)",C_cycle N_fix N_cycle S_cycle H2_ox H2_prod C1_ox aerobic          ,
1345,Planococcaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
1346,Planococcus,FAPROTAXv1.1,aerobic_chemoheterotrophy,degradation
1347,Planomicrobium,FAPROTAXv1.1,fermentation,N
1348,Planomonospora,FAPROTAXv1.1,ureolysis,
1349,Planosporangium,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1350,Plantactinospora,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1351,Pleomorphomonas,FAPROTAXv1.1,aerobic_chemoheterotrophy,N2 fix
1352,Plesiocystis,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1353,Plesiomonas,FAPROTAXv1.1,animal_parasites_or_symbionts,fermentation human_pathogens_all human_pathogens_gastroenteritis              
1354,Pleuronectes,FAPROTAXv1.1,chitinolysis,
1355,Pneumococcus,FAPROTAXv1.1,human_pathogens_all,
1356,Polaribacter,FAPROTAXv1.1,denitrification,
1357,Polaromonas,"(Weon et al., 2008) (Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",non-N,aerobic_chemoheterotrophy aromatic_hydrocarbon_degradation arsenite_oxidation_detoxification ureolysis           
1358,Polyangiaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,cellulolysis
1359,Polymorphospora,FAPROTAXv1.1,ureolysis,
1360,Polymorphum,"(Graf et al., 2014), FAPROTAXv1.1",nirS norB nosZ oil_bioremediation            ,
1361,Polynucleobacter,"(Heckmann and Schmidt, 1987) (Antharaman et al., 2016)",non-N,              
1362,Pontibaca,FAPROTAXv1.1,aerobic_chemoheterotrophy,"N, urea"
1363,Pontibacillus,FAPROTAXv1.1,denitrification,
1364,Pontibacter,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB nosZ nitrogen_fixation            ,
1365,Ponticaulis,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1366,Ponticoccus,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
1367,Pontimonas,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1368,Porphyrobacter,FAPROTAXv1.1,aerobic_anoxygenic_phototrophy,aerobic_anoxygenic_phototrophy
1369,Porphyromonadaceae,FAPROTAXv1.1,fermentation,
1370,Porticoccus,FAPROTAXv1.1,aromatic_hydrocarbon_degradation,                
1371,Prauserella,FAPROTAXv1.1,ureolysis,
1372,Prerotella,FAPROTAXv1.1,fermentation,
1373,Prevotella,"(Graf et al., 2014), FAPROTAXv1.1",nosZ fermentation human_pathogens_all xylanolysis           ,
1374,Prevotellaceae,FAPROTAXv1.1,animal_parasites_or_symbionts,fermentation xylanolysis               
1375,Primorskyibacter,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1376,Prochlorococcus,,OD-1,
1377,Prolinoborus,FAPROTAXv1.1,denitrification,
1378,Prolixibacter,"(Holmes et al., 2007)",non-N,              
1379,Prolixibacteraceae_family,"{Huang, X.-F., et al. (2014)}",N2_fix,               
1380,Prolixibacteraceae_family_BSV13,"{Huang, X.-F., et al. (2014)}",N2_fix,               
1381,Promicromonospora,FAPROTAXv1.1,aerobic_chemoheterotrophy,"fermentation, N"
1382,Promicromonosporaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,"cellulolysis, fermentation, xylan"
1383,Propionbacterium,"(Jones et al., 2008)",norB              ,
1384,Propionibacteriaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,"fermentation, N"
1385,Propionibacterium,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB fermentation manganese_oxidation nitrate_denitrification           ,
1386,Propionicicella,FAPROTAXv1.1,fermentation,
1387,Propionicimonas,FAPROTAXv1.1,fermentation,
1388,Propioniferax,FAPROTAXv1.1,denitrification,urea 
1389,Propionispira,FAPROTAXv1.1,N2_fix,
1390,Propionivibrio,"(Brune et al., 2002)",denitrification,
1391,Prosthecobacter,,non-N,              
1392,Prosthecochloris,FAPROTAXv1.1,anoxygenic_photoautotrophy_S_oxidizing,                
1393,Prosthecomicrobium,FAPROTAXv1.1,denitrification,
1394,Proteiniclasticum,FAPROTAXv1.1,fermentation,
1395,Proteobacteria,FAPROTAXv1.1,S_oxidation,
1396,Proteus,FAPROTAXv1.1,DNRA,human
1397,Providencia,FAPROTAXv1.1,human_pathogens_all,"parasite, urea"
1398,Pseudaminobacter,FAPROTAXv1.1,thiosulfate_oxidation,
1399,Pseudarthrobacter,"{Busse, H.-J. (2016)}",denitrification,
1400,Pseudoalteromonas,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",nirK norB aerobic_chemoheterotrophy chitinolysis nitrate_reduction           ,
1401,Pseudobutyrivibrio,FAPROTAXv1.1,fermentation,xlan 
1402,Pseudogulbenkiania,"(Graf et al., 2014), FAPROTAXv1.1",nirS norB nosZ dark_iron_oxidation            ,
1403,Pseudokineococcus,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1404,Pseudolabrys,"{K_mpfer, P., et al. (2006)}, FAPROTAXv1.1",non-N,aerobic_chemoheterotrophy              
1405,Pseudomonadaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,"cellulolysis, N2 fix, urea"
1406,Pseudomonadales,"(Antharaman et al., 2016), FAPROTAXv1.1",N_fix N_cycle S_cycle H2_ox H2_prod C1_ox aerobic animal_parasites_or_symbionts        ,
1407,Pseudomonas,"(Nishimori et al., 2000) (Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",denitrification,varied
1408,Pseudonocardia,FAPROTAXv1.1,ammonia_oxidation,aerobic_ammonia_oxidation
1409,Pseudonocardiaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1410,Pseudorhodobacter,"{Uchino, Y., et al. (2002)}, FAPROTAXv1.1",non-N,aerobic_chemoheterotrophy              
1411,Pseudorhodoferax,FAPROTAXv1.1,aerobic_chemoheterotrophy,"N, urea"
1412,Pseudoruegeria,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
1413,Pseudovibrio,"(Graf et al., 2014), FAPROTAXv1.1",nirS norB nosZ aerobic_chemoheterotrophy fermentation nitrate_denitrification nitrite_denitrification nitrous_oxide_denitrification        ,
1414,Pseudoxanthomonas,"(Graf et al., 2014)",nirK norB              ,
1415,Pseudozobellia,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1416,Psychrobacter,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB fermentation ureolysis            ,
1417,Psychroflexus,"(Jones et al., 2008) , (Graf et al., 2014)",nosZ              ,
1418,Psychromonas,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",nosZ fermentation nitrate_denitrification nitrate_reduction           ,
1419,Psychroserpens,FAPROTAXv1.1,aromatic_hydrocarbon_degradation,                
1420,Psychrosinus,FAPROTAXv1.1,fermentation,
1421,Pullulanibacillus,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1422,Puniceicoccaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1423,Pusillimonas,"(Graf et al., 2014)",nirK norB              ,
1424,Pyrinomonas,FAPROTAXv1.1,aerobic_chemoheterotrophy,"urea, xylan"
1425,Pyrobaculum,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",nirS norB nosZ arsenate_respiration dark_hydrogen_oxidation dark_thiosulfate_oxidation iron_respiration nitrate_respiration sulfur_respiration thiosulfate_respiration      ,
1426,Pyrococcus,FAPROTAXv1.1,chitinolysis,"fermentation, S"
1427,Pyrodictiaceae,FAPROTAXv1.1,H_ox,#REF!
1428,Pyrodictium,FAPROTAXv1.1,fermentation,S
1429,Ralstonia,"(Yabuuchi et al., 1995) (Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",denitrification,"chitinolysis, urea"
1430,Raoultella,FAPROTAXv1.1,ligninolysis,
1431,Rarobacteraceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1432,Rathayibacter,FAPROTAXv1.1,plant_pathogen,
1433,Reinekea,"(Jones et al., 2008) , (Graf et al., 2014)",nosZ              ,
1434,Reyranella,"(Pagnier et al., 2011)",denitrification,
1435,Rhabdochlamydia,FAPROTAXv1.1,invertebrate_parasites,
1436,Rhabdothermus,FAPROTAXv1.1,aerobic_chemoheterotrophy,"N, S"
1437,Rheinheimera,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
1438,Rhizobiaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,aresenite
1439,Rhizobiales,FAPROTAXv1.1,H_ox,#REF!
1440,Rhizobium,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",N2_fix,aerobic_anoxygenic_phototrophy aerobic_chemoheterotrophy DNRA nitrate_reduction nitrate_respiration nitrogen_fixation plant_pathogen ureolysis        
1441,Rhizomicrobium,FAPROTAXv1.1,aerobic_chemoheterotrophy,"fermentation, Fe, N"
1442,Rhizomonas,FAPROTAXv1.1,plant_pathogen,
1443,Rhodanobacter,"(Kostka et al., 2012) (Graf et al., 2014) , (Antharaman et al., 2016), FAPROTAXv1.1",denitrification,Fe
1444,Rhodobacter,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",N2_fix,aerobic_anoxygenic_phototrophy aerobic_chemoheterotrophy anoxygenic_photoautotrophy_Fe_oxidizing anoxygenic_photoautotrophy_H2_oxidizing anoxygenic_photoautotrophy_S_oxidizing dark_iron_oxidation dark_sulfide_oxidation fermentation iron_respiration manganese_oxidation nitrate_denitrification nitrate_reduction nitrate_respiration nitrogen_fixation photoheterotrophy ureolysis
1445,Rhodobacteraceae,"(Antharaman et al., 2016), FAPROTAXv1.1",C_cycle N_cycle S_cycle H2_ox C1_ox aerobic aerobic_chemoheterotrophy anoxygenic_photoautotrophy cellulolysis dark_hydrogen_oxidation dark_sulfite_oxidation dark_sulfur_oxidation dark_thiosulfate_oxidation fermentation ligninolysis methanol_oxidation methylotrophy nitrate_denitrification,
1446,Rhodobacterales,"(Graf et al., 2014) , (Antharaman et al., 2016)",nirK norB nosZ N_cycle S_cycle C1_ox aerobic         ,
1447,Rhodobiaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,photoheterotrophy
1448,Rhodobium,FAPROTAXv1.1,aerobic_chemoheterotrophy,anoxygenic_photoautotrophy
1449,Rhodoblastus,FAPROTAXv1.1,anoxygenic_photoautotrophy_H2_oxidizing,                
1450,Rhodococcus,"(Graf et al., 2014), FAPROTAXv1.1",non-N,ligninolysis nitrate_reduction plant_pathogen plastic_degradation ureolysis          
1451,Rhodocyclaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,varied
1452,Rhodocyclaceae dok59,"(Van der Zaan et al., 2012)",denitrification,
1453,Rhodocyclales,"(Antharaman et al., 2016), FAPROTAXv1.1",C_cycle N_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic aerobic_chemoheterotrophy dissimilatory oxidation of arsenite for energy not photosynthesis nitrate_denitrification,
1454,Rhodocyclus,", FAPROTAXv1.1",non-N,aerobic_anoxygenic_phototrophy aerobic_chemoheterotrophy anoxygenic_photoautotrophy_H2_oxidizing nitrogen_fixation           
1455,Rhodoferax,"(Finneran et al., 2003) (Jones et al., 2008) , (Graf et al., 2014) , (Antharaman et al., 2016), FAPROTAXv1.1",denitrification,varied
1456,Rhodomicrobium,", FAPROTAXv1.1",non-N,aerobic_anoxygenic_phototrophy aerobic_chemoheterotrophy anoxygenic_photoautotrophy_Fe_oxidizing anoxygenic_photoautotrophy_H2_oxidizing anoxygenic_photoautotrophy_S_oxidizing dark_iron_oxidation photoheterotrophy        
1457,Rhodonellum,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1458,Rhodopila,FAPROTAXv1.1,anoxygenic_photoautotrophy_S_oxidizing,nitrogen_fixation ureolysis               
1459,Rhodoplanes,"(Hiraishi and Ueda, 1994), FAPROTAXv1.1",denitrification,
1460,Rhodopseudomonas,"https://microbewiki.kenyon.edu/index.php/Rhodopseudomos (Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",N2_fix,aerobic_anoxygenic_phototrophy aerobic_chemoheterotrophy anoxygenic_photoautotrophy_Fe_oxidizing anoxygenic_photoautotrophy_H2_oxidizing anoxygenic_photoautotrophy_S_oxidizing dark_iron_oxidation dark_sulfide_oxidation fermentation nitrate_reduction nitrate_respiration nitrite_respiration nitrogen_fixation ureolysis   
1461,Rhodospirillaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,anoxygenic_photoautotrophy
1462,Rhodospirillales,"(Antharaman et al., 2016), FAPROTAXv1.1",C_cycle N_cycle S_cycle H2_ox H2_prod aerobic aerobic_chemoheterotrophy           ,
1463,Rhodospirillum,"(Graf et al., 2014), FAPROTAXv1.1",norB nosZ aerobic_anoxygenic_phototrophy anoxygenic_photoautotrophy_H2_oxidizing anoxygenic_photoautotrophy_S_oxidizing fermentation nitrogen_fixation        ,
1464,Rhodothermus,"(Graf et al., 2014), FAPROTAXv1.1",nirK nirS nosZ cellulolysis xylanolysis           ,
1465,Rhodovastum,FAPROTAXv1.1,aerobic_chemoheterotrophy,anoxygenic_photoautotrophy
1466,Rhodovulum,"(Graf et al., 2014), FAPROTAXv1.1",nirK aerobic_anoxygenic_phototrophy aerobic_chemoheterotrophy anoxygenic_photoautotrophy_Fe_oxidizing anoxygenic_photoautotrophy_H2_oxidizing anoxygenic_photoautotrophy_S_oxidizing dark_iron_oxidation dark_sulfide_oxidation dark_sulfur_oxidation dark_thiosulfate_oxidation nitrate_reduction photoheterotrophy    ,
1866,Rhynchosporium agropyri,,Fungus,
1866,Rhynchosporium orthosporum,,Fungus,
1467,Rickettsia,,non-N,              
1468,Rickettsiella,FAPROTAXv1.1,invertebrate_parasites,
1469,Riemerella,"(Graf et al., 2014)",nosZ              ,
1470,Rikenellaceae,FAPROTAXv1.1,fermentation,
1471,Rikenellaceae_family_Bact-08,0,non-N,              
1472,Robiginitalea,"(Jones et al., 2008) , (Graf et al., 2014)",nosZ              ,
1473,Romboutsia,"{Gerritsen, J., et al. (2014)}",Acetogenesis,Acetogenic
1474,Roseateles,FAPROTAXv1.1,aerobic_anoxygenic_phototrophy,aerobic_anoxygenic_phototrophy
1475,Roseburia,", FAPROTAXv1.1",non-N,human_gut              
1476,Roseibacterium,FAPROTAXv1.1,aerobic_anoxygenic_phototrophy,aerobic_anoxygenic_phototrophy
1477,Roseibium,"(Graf et al., 2014), FAPROTAXv1.1",nirK aerobic_anoxygenic_phototrophy              ,
1478,Roseicyclus,FAPROTAXv1.1,aerobic_chemoheterotrophy,aerobic_anoxygenic_phototrophy
1479,Roseiflexus,"(Graf et al., 2014)",nirS               ,
1480,Roseimarinus,"{Wu, W.-J., et al. (2015)}",non-N,              
1481,Roseinatronobacter,FAPROTAXv1.1,aerobic_chemoheterotrophy,aerobic_anoxygenic_phototrophy
1482,Roseisalinus,FAPROTAXv1.1,aerobic_chemoheterotrophy,aerobic_anoxygenic_phototrophy
1483,Roseivivax,FAPROTAXv1.1,aerobic_chemoheterotrophy,aerobic_anoxygenic_phototrophy
1484,Roseobacter,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",nirK nirS norB nosZ aerobic_anoxygenic_phototrophy aerobic_chemoheterotrophy manganese_oxidation         ,
1485,Roseococcus,FAPROTAXv1.1,aerobic_chemoheterotrophy,aerobic_anoxygenic_phototrophy
1486,Roseomonas,"(Rihs et al., 1993)",denitrification,
1487,Roseospira,FAPROTAXv1.1,anoxygenic_photoautotrophy_S_oxidizing,ureolysis                
1488,Roseovarius,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",nirK norB nosZ aerobic_anoxygenic_phototrophy            ,
1489,Rothia,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB nitrate_reduction             ,
1490,Ruania,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
1491,Rubellimicrobium,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1492,Rubricoccus,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
1493,Rubrimonas,FAPROTAXv1.1,aerobic_chemoheterotrophy,aerobic_anoxygenic_phototrophy
1494,Rubritalea,FAPROTAXv1.1,denitrification,
1495,Rubritaleaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1496,Rubritepida,FAPROTAXv1.1,thiosulfate_oxidation,aerobic_anoxygenic_phototrophy
1497,Rubrivirga,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1498,Rubrivivax,"(Graf et al., 2014), FAPROTAXv1.1",nirS norB nosZ aerobic_anoxygenic_phototrophy aerobic_chemoheterotrophy anoxygenic_photoautotrophy_H2_oxidizing aromatic_hydrocarbon_degradation fermentation nitrogen_fixation photoheterotrophy      ,
1499,Rubrobacter,", FAPROTAXv1.1",denitrification,xylan
1500,Rubrobacteraceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
1501,Rubrobacteriaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1502,Rudaeicoccus,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1503,Ruegeria,"(Graf et al., 2014), FAPROTAXv1.1",nirS norB nosZ aerobic_chemoheterotrophy nitrate_denitrification nitrate_reduction          ,
1504,Rugamonas,FAPROTAXv1.1,denitrification,
1505,Rugosimonospora,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1506,Ruminiclostridium 1,"refs in {Ravachol, J., et al. (2015), Sheng, T., et al. (2016)}",cellulolysis,
1507,Ruminobacter,FAPROTAXv1.1,fermentation,
1508,Ruminococcaceae,FAPROTAXv1.1,aromatic_compound_degradation,fermentation mammal_gut               
1509,Ruminococcus,", FAPROTAXv1.1",cellulolysis,"H, xylan"
1510,Rummeliibacillus,"(Vaishampayan et al., 2009)",non-N,              
1511,Runella,"(Graf et al., 2014), FAPROTAXv1.1",nosZ fermentation             ,
1512,Saccharibacter,"(Jojima et al., 2004)",non-N,              
1513,Saccharomonospora,"(Graf et al., 2014), FAPROTAXv1.1",nirK cellulolysis nitrate_reduction xylanolysis            ,
1514,Saccharophagus,", FAPROTAXv1.1",non-N,cellulolysis chitinolysis xylanolysis            
1515,Saccharopolyspora,FAPROTAXv1.1,cellulolysis,"urea, xylan"
1516,Saccharospirillum,,denitrification,
1517,Saccharothrix,FAPROTAXv1.1,aromatic_hydrocarbon_degradation,ureolysis                
1518,Sagittula,FAPROTAXv1.1,cellulolysis,ligninolysis 
1519,Salegentibacter,FAPROTAXv1.1,denitrification,urea 
1520,Salinibacter,"(Jones et al., 2008) , (Graf et al., 2014)",nosZ              ,
1521,Salinibacterium,"(Han et al., 2003), FAPROTAXv1.1",non-N,aerobic_chemoheterotrophy nitrate_reduction             
1522,Salinicoccus,FAPROTAXv1.1,denitrification,urea 
1523,Salinimicrobium,FAPROTAXv1.1,aerobic_chemoheterotrophy,"fermentation, N"
1524,Salinimonas,FAPROTAXv1.1,chitinolysis,
1525,Salinisphaera,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB nosZ aerobic_chemoheterotrophy dark_thiosulfate_oxidation           ,
1526,Salmonella,FAPROTAXv1.1,S_reduction,"fermentation, pathogen"
1527,Samsonia,FAPROTAXv1.1,plant_pathogen,
1528,Sandarakinorhabdus,FAPROTAXv1.1,aerobic_anoxygenic_phototrophy,aerobic_anoxygenic_phototrophy
1529,Sandariconobacter,FAPROTAXv1.1,aerobic_anoxygenic_phototrophy,aerobic_anoxygenic_phototrophy
1530,Sanguibacter,"(Graf et al., 2014), FAPROTAXv1.1",nirK chitinolysis nitrate_reduction             ,
1531,Sanguibacteraceae,FAPROTAXv1.1,fermentation,
1532,Saprospiraceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,cellulolysis
1533,SAR11 clade,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1534,SAR86 clade,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1535,Scardovia,"(Graf et al., 2014)",nirK               ,
1536,Schineria,FAPROTAXv1.1,chitinolysis,uera
1537,Schlesneria,FAPROTAXv1.1,xylanolysis,
1538,Sediminibacter,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1539,Sediminibacterium,"(Qu and Yuan, 2008)",non-N,              
1540,Sediminimonas,FAPROTAXv1.1,aerobic_chemoheterotrophy,"N, urea"
1541,Segetibacter,FAPROTAXv1.1,aerobic_chemoheterotrophy,
1542,Segniliparus,FAPROTAXv1.1,ureolysis,
1543,Sejongia,FAPROTAXv1.1,fermentation,
1544,Selenihalanaerobacter,FAPROTAXv1.1,denitrification,
1545,Seleniivibrio,FAPROTAXv1.1,arsenate_respiration,                
1546,Selenomonas,FAPROTAXv1.1,fermentation,xylan
