,gen,fun_consol,ref_consol
1143,Moraxella,"nirK  norB, aliphatic_non_methane_hydrocarbon_degradation fermentation nitrate_reduction  plastic_degradation","(Graf et al., 2014), FAPROTAXv1.1"
1144,Moraxellaceae,aerobic_chemoheterotrophy aromatic_compound_degradation fermentation human_pathogens_all,FAPROTAXv1.1
1145,Morganella,human_pathogens_all human_pathogens_diarrhea,FAPROTAXv1.1
1146,Moritella,"nosZ, nitrate_reduction","(Graf et al., 2014), FAPROTAXv1.1"
1147,Mucilaginibacter,"non-N, aerobic_chemoheterotrophy xylanolysis","(Pankratov et al., 2007), FAPROTAXv1.1"
1148,Muricauda,nirK  norB  nosZ,"(Graf et al., 2014)"
1149,Myceligenerans,aerobic_chemoheterotrophy nitrate_reduction  ureolysis,FAPROTAXv1.1
1150,Mycetocola,ureolysis,FAPROTAXv1.1
1151,Mycobacterium,"non-N, aerobic_chemoheterotrophy aromatic_hydrocarbon_degradation human_pathogens_all human_pathogens_pneumonia methanol_oxidation nitrate_reduction  plastic_degradation ureolysis","(Butler et al., 1993) (Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
1152,Mycolatopsis,ligninolysis,FAPROTAXv1.1
1153,Mycoplana,aerobic_chemoheterotrophy,FAPROTAXv1.1
1154,Mycoplasma,"non-N, animal_parasites_or_symbionts human_pathogens_all human_pathogens_pneumonia","(Wodke et al., 2013), FAPROTAXv1.1"
1155,Mycoplasmataceae,aerobic_chemoheterotrophy ureolysis,FAPROTAXv1.1
1156,Myroides,"nirK  norB  nosZ, human_pathogens_all","(Graf et al., 2014), FAPROTAXv1.1"
1157,Myxococcaceae,xylanolysis,FAPROTAXv1.1
1158,Myxococcales,predatory_or_exoparasitic,FAPROTAXv1.1
1159,Myxococcus,cellulolysis,FAPROTAXv1.1
1160,Naasia,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
1161,Nakamurellaceae,aerobic_chemoheterotrophy,FAPROTAXv1.1
1162,Nannocystis,aerobic_chemoheterotrophy,FAPROTAXv1.1
1163,Natranaerobius,fumarate_respiration nitrate_respiration,FAPROTAXv1.1
1164,Natrinema,nitrate_reduction,FAPROTAXv1.1
1165,Natroniella,reductive_acetogenesis,FAPROTAXv1.1
1166,Natronincola,reductive_acetogenesis,FAPROTAXv1.1
1167,Natronomonas,nirK,"(Jones et al., 2008) , (Graf et al., 2014)"
1168,Nautella,aerobic_chemoheterotrophy,FAPROTAXv1.1
1169,Nautilia,dark_hydrogen_oxidation DNRA sulfur_respiration ureolysis,FAPROTAXv1.1
1170,Nautiliaceae,dark_hydrogen_oxidation nitrate_respiration sulfur_respiration,FAPROTAXv1.1
1171,Neisseria,"nirK  norB nosZ, human_pathogens_all human_pathogens_meningitis human_pathogens_septicemia nitrate_reduction  nitrite_respiration","(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
1172,Neisseriaceae,aerobic_chemoheterotrophy fermentation methanol_oxidation nitrate_denitrification nitrate_reduction  nitrite_denitrification nitrous_oxide_denitrification,FAPROTAXv1.1
1173,Neocallimastix,xylanolysis,FAPROTAXv1.1
1174,Neochlamydia,obligate parasite,"{Horn, M., et al. (2000)}"
1175,Neosartorya,nirK,"(Graf et al., 2014)"
1176,Neptunomonas,aromatic_hydrocarbon_degradation oil_bioremediation,FAPROTAXv1.1
1177,Nereida,aerobic_chemoheterotrophy,FAPROTAXv1.1
1178,Nesterenkonia,cellulolysis ureolysis,FAPROTAXv1.1
1179,Nevskia,"non-N, aerobic_chemoheterotrophy","{Kim, S.-J., et al. (2011)}, FAPROTAXv1.1"
1180,Niabella,non-N,"(Kim et al., 2007) (Graf et al., 2014)"
1181,Niastella,nosZ,"(Graf et al., 2014)"
1182,Nisaea,"nirK   nosZ, nitrate_denitrification nitrite_respiration","(Jones et al., 2008), FAPROTAXv1.1"
1183,Nitratifractor,"Denitrification, knallgas_bacteria nitrate_denitrification","(kagawa et al., 2005) (Graf et al., 2014), FAPROTAXv1.1"
1184,Nitratireductor,"Denitrification, aerobic_chemoheterotrophy","(Labb_ et al., 2004) (Graf et al., 2014), FAPROTAXv1.1"
1185,Nitratiruptor,"Denitrification, dark_hydrogen_oxidation dark_sulfide_oxidation dark_sulfur_oxidation dark_thiosulfate_oxidation knallgas_bacteria nitrate_denitrification","(kagawa et al., 2005) (Graf et al., 2014), FAPROTAXv1.1"
1186,Nitriliruptor,aerobic_chemoheterotrophy,FAPROTAXv1.1
1187,Nitrobacter,Nitrite oxidation,"(Jones et al., 2008) , (Graf et al., 2014)"
1188,Nitrolancea,aerobic_nitrite_oxidation,FAPROTAXv1.1
1189,Nitrosoarchaeum,aerobic_ammonia_oxidation,FAPROTAXv1.1
1190,Nitrosocaldaceae,aerobic_ammonia_oxidation,FAPROTAXv1.1
1191,Nitrosocaldus,aerobic_ammonia_oxidation,FAPROTAXv1.1
1192,Nitrosococcus,"Nitrite oxidation, ureolysis","Paul 2015-book? (Graf et al., 2014), FAPROTAXv1.1"
1193,Nitrosocosmicus,Ammonia oxidation,
1194,Nitrosomonadaceae_family_Ellin6067,Ammonia oxidation,
1195,Nitrosomonadaceae_family_GOUTA6,Ammonia oxidation,0
1196,Nitrosomonadaceae_family_MND1,Ammonia oxidation,0
1197,Nitrosomonadales,aerobic_ammonia_oxidation,FAPROTAXv1.1
1198,Nitrosomonas,"Ammonia oxidation, ureolysis","(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
1199,Nitrosopelagicus,aerobic_ammonia_oxidation,FAPROTAXv1.1
1200,Nitrosopumilaceae,aerobic_ammonia_oxidation,FAPROTAXv1.1
1201,Nitrosopumilus,"Ammonia oxidation, aerobic_ammonia_oxidation","(Graf et al., 2014), FAPROTAXv1.1"
1202,Nitrososphaera,"Ammonia oxidation, aerobic_ammonia_oxidation ureolysis",", FAPROTAXv1.1"
1203,Nitrososphaerales,aerobic_ammonia_oxidation,FAPROTAXv1.1
1204,Nitrosospira,Ammonia oxidation,"(Meincke et al., 1989) (Jones et al., 2008) , (Graf et al., 2014)"
1205,Nitrosotalea,aerobic_ammonia_oxidation,FAPROTAXv1.1
1206,Nitrosotenuis,aerobic_ammonia_oxidation,FAPROTAXv1.1
1207,Nitrosovibrio,Ammonia oxidation,
1208,Nitrospina,Nitrite oxidation,
1209,Nitrospinaceae,aerobic_nitrite_oxidation,FAPROTAXv1.1
1210,Nitrospinae,C_fix   N_cycle  S_cycle  Fe_Cycle  H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
1211,Nitrospira,"Nitrite oxidation, aerobic_ammonia_oxidation aerobic_nitrite_oxidation",", FAPROTAXv1.1"
1212,Nitrospirae,"C_fix  N_fix  N_cycle  S_cycle  Fe_Cycle  H2_ox  H2_prod  C1_ox  aerobic, aerobic_nitrite_oxidation nitrate_respiration sulfate_respiration thiosulfate_respiration","(Antharaman et al., 2016), FAPROTAXv1.1"
1213,Nitrospirillum,N fixation,"(Chung et al., 2015)"
1214,Nitrotoga,aerobic_nitrite_oxidation,FAPROTAXv1.1
1215,Niveispirillum,nitrogen_fixation,FAPROTAXv1.1
1216,Nocardia,"nirK  norB, aerobic_chemoheterotrophy human_pathogens_all ligninolysis nitrate_reduction  plant_pathogen","(Graf et al., 2014), FAPROTAXv1.1"
1217,Nocardiaceae,aerobic_chemoheterotrophy aliphatic_non_methane_hydrocarbon_degradation aromatic_compound_degradation aromatic_hydrocarbon_degradation ureolysis,FAPROTAXv1.1
1218,Nocardioidaceae,aerobic_chemoheterotrophy aromatic_compound_degradation,FAPROTAXv1.1
1219,Nocardioides,"nirK, aerobic_chemoheterotrophy aromatic_compound_degradation nitrate_denitrification nitrate_reduction  xylanolysis","(Graf et al., 2014), FAPROTAXv1.1"
1220,Nocardiopsaceae,aerobic_chemoheterotrophy,FAPROTAXv1.1
1221,Nocardiopsis,chitinolysis nitrate_reduction  ureolysis,FAPROTAXv1.1
1222,non-N,non-N,
1223,Nonomuraea,nitrate_reduction  ureolysis,FAPROTAXv1.1
1224,Nostoc,nitrogen_fixation,FAPROTAXv1.1
1225,Novosphingobium,"non-N, aromatic_compound_degradation aromatic_hydrocarbon_degradation",", FAPROTAXv1.1"
1226,Oceanicaulis,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
1227,Oceanicola,aerobic_chemoheterotrophy nitrate_reduction  ureolysis,FAPROTAXv1.1
1228,Oceanimonas,"nirK  norB, aerobic_chemoheterotrophy","(Graf et al., 2014), FAPROTAXv1.1"
1229,Oceaniovalibus,"nirK  norB  nosZ, aerobic_chemoheterotrophy nitrate_reduction","(Graf et al., 2014), FAPROTAXv1.1"
1230,Oceanisphaera,aerobic_chemoheterotrophy manganese_oxidation nitrate_reduction,FAPROTAXv1.1
1231,Oceanithermus,"nirS norB, aerobic_chemoheterotrophy nitrate_respiration nitrite_respiration sulfur_respiration","(Graf et al., 2014), FAPROTAXv1.1"
1232,Oceanobacillus,nitrate_reduction,FAPROTAXv1.1
1233,Oceanospirillaceae,aerobic_chemoheterotrophy aromatic_hydrocarbon_degradation nitrate_reduction,FAPROTAXv1.1
1234,Oceanospirillales,aerobic_chemoheterotrophy,FAPROTAXv1.1
1235,Oceanotoga,fermentation sulfur_respiration thiosulfate_respiration xylanolysis,FAPROTAXv1.1
1236,Ochrobactrum,"nirK  norB nosZ, aerobic_chemoheterotrophy animal_parasites_or_symbionts ligninolysis","(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
1237,Octadecabacter,"nirK, aerobic_chemoheterotrophy","(Graf et al., 2014), FAPROTAXv1.1"
1238,Odoribacter,fermentation,FAPROTAXv1.1
1239,Oenocuccus,fermentation,FAPROTAXv1.1
1240,Oerskovia,fermentation ureolysis,FAPROTAXv1.1
1241,Oleiphilus,aliphatic_non_methane_hydrocarbon_degradation,FAPROTAXv1.1
1242,Oleispira,aliphatic_non_methane_hydrocarbon_degradation,FAPROTAXv1.1
1243,Oligella,nitrate_reduction  ureolysis,FAPROTAXv1.1
1244,Oligotropha,nirK   nosZ,"(Graf et al., 2014)"
1245,Omnitrophica,C_fix  N_fix  N_cycle  S_cycle   H2_ox  H2_prod  C1_ox  aerobic,"(Antharaman et al., 2016)"
1246,Omnitrophica WOR_2,C_fix   N_cycle  S_cycle   H2_ox  H2_prod  C1_ox  aerobic,"(Antharaman et al., 2016)"
1247,Opitutaceae,"nosZ, fermentation nitrate_reduction","(Graf et al., 2014), FAPROTAXv1.1"
1248,Opitutus,"Denitrification, xylanolysis","(Chin et al., 2001) (Graf et al., 2014), FAPROTAXv1.1"
1249,Or-59,non-N,"(Sangwan et al., 2004)"
1250,Orenia,dark_hydrogen_oxidation fermentation iron_respiration manganese_respiration nitrogen_fixation,FAPROTAXv1.1
1251,Ornithinibacter,aerobic_chemoheterotrophy,FAPROTAXv1.1
1252,Ornithinimicrobium,nitrate_reduction,FAPROTAXv1.1
1253,Ornithobacterium,ureolysis,FAPROTAXv1.1
1254,Oryzihumus,aerobic_chemoheterotrophy,FAPROTAXv1.1
1255,Oscillatoria,anoxygenic_photoautotrophy_H2_oxidizing,FAPROTAXv1.1
1256,Oscillibacter,fermentation,FAPROTAXv1.1
1257,Oscillochloris,anoxygenic_photoautotrophy_H2_oxidizing anoxygenic_photoautotrophy_S_oxidizing photoheterotrophy ureolysis,FAPROTAXv1.1
1258,Ottowia,aerobic_chemoheterotrophy nitrate_respiration,FAPROTAXv1.1
1259,Owenweeksia,nosZ,"(Graf et al., 2014)"
1260,Oxalobacter,fermentation,FAPROTAXv1.1
1261,Oxalobacteraceae,nitrogen_fixation ureolysis xylanolysis,FAPROTAXv1.1
1262,Oxalophagus,fermentation,FAPROTAXv1.1
1263,Oxobacter,fermentation reductive_acetogenesis,FAPROTAXv1.1
1264,Paenibacillaceae,aerobic_chemoheterotrophy xylanolysis,FAPROTAXv1.1
1265,Paenibacillus,"N fixation, aerobic_chemoheterotrophy aromatic_hydrocarbon_degradation cellulolysis chitinolysis fermentation invertebrate_parasites  nitrate_reduction nitrate_respiration nitrite_respiration nitrogen_fixation plant_pathogen ureolysis xylanolysis","(Graf et al., 2014) , (Antharaman et al., 2016), FAPROTAXv1.1"
1266,Paenibacillusanaericanus,fermentation,FAPROTAXv1.1
1267,Pajaroellobacter,obligate parasite,"{Brooks, R. S., et al. (2016)}"
1268,Paludibacter,"non-N, fermentation","(Ueki et al., 2006), FAPROTAXv1.1"
1269,Paludibaculum,Fe3 reduction,"{Kulichevskaya, I. S., et al. (2014)}"
1270,Pandoraea,ureolysis,FAPROTAXv1.1
1271,Pannonibacter,aerobic_chemoheterotrophy nitrate_denitrification ureolysis,FAPROTAXv1.1
1272,Pantoea,animal_parasites_or_symbionts arsenate_detoxification human_pathogens_all plant_pathogen,FAPROTAXv1.1
1273,Parabacteroides,human_gut,FAPROTAXv1.1
1274,Parachlamydiaceae,intracellular_parasites,FAPROTAXv1.1
1275,Paracoccidioides,nirK  norB,"(Graf et al., 2014)"
1276,Paracoccus,"nirK nirS norB nosZ, dark_iron_oxidation dark_sulfide_oxidation dark_sulfur_oxidation dark_thiosulfate_oxidation knallgas_bacteria methanol_oxidation methylotrophy nitrate_denitrification nitrate_respiration","(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
1277,Paracraurococcus,aerobic_anoxygenic_phototrophy aerobic_chemoheterotrophy nitrate_reduction  photoheterotrophy ureolysis,FAPROTAXv1.1
1278,Paraprevotella,fermentation xylanolysis,FAPROTAXv1.1
1279,Parascardovia,"nirK, fermentation human_pathogens_all","(Graf et al., 2014), FAPROTAXv1.1"
1280,Parasporobacterium,aromatic_compound_degradation,FAPROTAXv1.1
1281,Parcubacteria group,N_cycle       aerobic,"(Antharaman et al., 2016)"
1282,Parcubacteria_family_Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_02_FULL_50_9b,OD-1,http://www.uniprot.org/taxonomy/1752731
1283,Parvibaculum,"Oxidize surfactants, aerobic_chemoheterotrophy hydrocarbon_degradation","(Schleheck et al., 2004) (Graf et al., 2014), FAPROTAXv1.1"
1284,Pasteurella,"nirK, fumarate_respiration plastic_degradation ureolysis","(Graf et al., 2014), FAPROTAXv1.1"
1285,Pasteurellaceae,aerobic_chemoheterotrophy animal_parasites_or_symbionts fermentation fumarate_respiration nitrate_reduction  nitrate_respiration,FAPROTAXv1.1
1286,Pasteuria,animal_parasites_or_symbionts,FAPROTAXv1.1
1287,Pasteuriaceae,invertebrate_parasites,FAPROTAXv1.1
1288,Patulibacter,nitrate_reduction,FAPROTAXv1.1
1289,Patulibacteraceae,aerobic_chemoheterotrophy,FAPROTAXv1.1
1290,Pectinatus,fermentation,FAPROTAXv1.1
1291,Pectobacterium,DNRA plant_pathogen,FAPROTAXv1.1
1292,Pediococcus,fermentation,FAPROTAXv1.1
1293,Pedobacter,non-N,"(Steyn et al., 1998) (Graf et al., 2014)"
1294,Pedomicrobium,"Denitrification, aerobic_chemoheterotrophy manganese_oxidation nitrate_reduction","(Gebers and Beese, 1988), FAPROTAXv1.1"
1295,Pedosphaera,non-N,"(Kant et al., 2011)"
1296,Pelagibaca,aerobic_chemoheterotrophy nitrate_reduction  ureolysis,FAPROTAXv1.1
1297,Pelagibacterales,aerobic_chemoheterotrophy,FAPROTAXv1.1
1298,Pelagicoccus,"OD-1?, ureolysis",", FAPROTAXv1.1"
1299,Pelagicola,aerobic_chemoheterotrophy,FAPROTAXv1.1
1300,Pelobacter,"non-N, fermentation iron_respiration sulfur_respiration",", FAPROTAXv1.1"
1301,Pelobacteraceae,N_cycle    H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
1302,Pelolinea,fermentation xylanolysis,FAPROTAXv1.1
1303,Pelomonas,dark_hydrogen_oxidation,FAPROTAXv1.1
1304,Pelosinus,non-N,"(Sheloboli et al., 2007)"
1305,Pelotomaculum,"non-N, fermentation plastic_degradation","(Imachi et al., 2007) (Imachi et al., 2002), FAPROTAXv1.1"
1306,Penicillium,"nirK, fermentation","(Graf et al., 2014), FAPROTAXv1.1"
1307,Peptococcaceae,aromatic_compound_degradation fermentation iron_respiration sulfate_respiration thiosulfate_respiration,FAPROTAXv1.1
1308,Peptostreptococcaceae,fermentation,FAPROTAXv1.1
1309,Peptostreptococcus,fermentation reductive_acetogenesis,FAPROTAXv1.1
1310,Peredibacter,non-N,"(Davidov and Jurkevitch, 2004)"
1311,Perlucidibaca,Denitrification,"(Song et al., 2008)."
1312,Persephonella,"nirS norB  nosZ, knallgas_bacteria nitrate_denitrification","(Graf et al., 2014), FAPROTAXv1.1"
1313,Persicivirga,xylanolysis,FAPROTAXv1.1
1314,Persicobacter,chitinolysis nitrate_reduction,FAPROTAXv1.1
1315,Petrimonas,DNRA fermentation,FAPROTAXv1.1
1316,Petrotoga,fermentation xylanolysis,FAPROTAXv1.1
1317,Phaeobacter,"nirK  norB  nosZ, aerobic_chemoheterotrophy nitrate_respiration","(Graf et al., 2014), FAPROTAXv1.1"
1318,Phaeospirillum,nitrogen_fixation,FAPROTAXv1.1
1319,Phaeovibrio,photoheterotrophy,FAPROTAXv1.1
1320,Phanerochaete,ligninolysis manganese_oxidation,FAPROTAXv1.1
1321,Phascolarctobacterium,non-N,"(Del Dot et al., 1993)"
1322,Phaselicystis,aerobic_chemoheterotrophy,FAPROTAXv1.1
1323,Phenylobacterium,"non-N, aerobic_chemoheterotrophy","(Lingens et al., 1985) (Graf et al., 2014) , (Antharaman et al., 2016), FAPROTAXv1.1"
1324,Phocaeicola,nosZ,"(Graf et al., 2014)"
1325,Phorcysia,dark_hydrogen_oxidation DNRA sulfur_respiration,FAPROTAXv1.1
1326,Photobacterium,norB nosZ,"(Jones et al., 2008) , (Graf et al., 2014)"
1327,Photorhabdus,human_pathogens_all invertebrate_parasites,FAPROTAXv1.1
1328,Phycicoccus,aerobic_chemoheterotrophy nitrate_reduction  ureolysis,FAPROTAXv1.1
1329,Phycicola,nitrate_reduction  ureolysis,FAPROTAXv1.1
1330,Phycisphaera,fermentation,FAPROTAXv1.1
1331,Phycisphaeraceae_family_SM1A02,Denitrification,"{Fukuga, Y., et al. (2009)}"
1332,Phyllobacteriaceae,aerobic_chemoheterotrophy nitrate_respiration ureolysis,FAPROTAXv1.1
1333,Phyllobacterium,plant_pathogen,FAPROTAXv1.1
1334,Phytohabitans,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
1335,Picrophilaceae,chemoheterotrophy,FAPROTAXv1.1
1336,Pilimelia,non-N,
1337,Piscicoccus,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
1338,Pisciglobus,aerobic_chemoheterotrophy fermentation,FAPROTAXv1.1
1339,Piscirickettsia,fish_parasites,FAPROTAXv1.1
1340,Piscirickettsiaceae,aerobic_chemoheterotrophy aromatic_hydrocarbon_degradation dark_hydrogen_oxidation dark_sulfide_oxidation dark_sulfur_oxidation fish_parasites knallgas_bacteria methanol_oxidation ureolysis,FAPROTAXv1.1
1341,Planctomyces,"Ammox, aerobic_chemoheterotrophy nitrate_reduction  nitrate_respiration",", FAPROTAXv1.1"
1342,Planctomycetaceae,aerobic_chemoheterotrophy nitrate_respiration ureolysis,FAPROTAXv1.1
1343,planctomycete,nirK,"(Graf et al., 2014)"
1344,Planctomycetes,C_fix  N_fix  N_cycle  S_cycle   H2_ox  H2_prod  C1_ox  aerobic,"(Antharaman et al., 2016)"
1345,Planococcaceae,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
1346,Planococcus,aerobic_chemoheterotrophy aliphatic_non_methane_hydrocarbon_degradation,FAPROTAXv1.1
1347,Planomicrobium,fermentation nitrate_reduction,FAPROTAXv1.1
1348,Planomonospora,ureolysis,FAPROTAXv1.1
1349,Planosporangium,aerobic_chemoheterotrophy,FAPROTAXv1.1
1350,Plantactinospora,aerobic_chemoheterotrophy,FAPROTAXv1.1
1351,Pleomorphomonas,aerobic_chemoheterotrophy nitrogen_fixation,FAPROTAXv1.1
1352,Plesiocystis,aerobic_chemoheterotrophy,FAPROTAXv1.1
1353,Plesiomonas,animal_parasites_or_symbionts fermentation human_pathogens_all human_pathogens_gastroenteritis,FAPROTAXv1.1
1354,Pleuronectes,chitinolysis,FAPROTAXv1.1
1355,Pneumococcus,human_pathogens_all,FAPROTAXv1.1
1356,Polaribacter,nitrate_reduction,FAPROTAXv1.1
1357,Polaromonas,"non-N, aerobic_chemoheterotrophy aromatic_hydrocarbon_degradation arsenite_oxidation_detoxification ureolysis","(Weon et al., 2008) (Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
1358,Polyangiaceae,aerobic_chemoheterotrophy cellulolysis,FAPROTAXv1.1
1359,Polymorphospora,ureolysis,FAPROTAXv1.1
1360,Polymorphum,"nirS norB  nosZ, oil_bioremediation","(Graf et al., 2014), FAPROTAXv1.1"
1361,Polynucleobacter,non-N,"(Heckmann and Schmidt, 1987) (Antharaman et al., 2016)"
1362,Pontibaca,aerobic_chemoheterotrophy nitrate_reduction  ureolysis,FAPROTAXv1.1
1363,Pontibacillus,nitrate_reduction,FAPROTAXv1.1
1364,Pontibacter,"nirK  norB  nosZ, nitrogen_fixation","(Graf et al., 2014), FAPROTAXv1.1"
1365,Ponticaulis,aerobic_chemoheterotrophy,FAPROTAXv1.1
1366,Ponticoccus,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
1367,Pontimonas,aerobic_chemoheterotrophy,FAPROTAXv1.1
1368,Porphyrobacter,aerobic_anoxygenic_phototrophy anoxygenic_photoautotrophy,FAPROTAXv1.1
1369,Porphyromonadaceae,fermentation,FAPROTAXv1.1
1370,Porticoccus,aromatic_hydrocarbon_degradation,FAPROTAXv1.1
1371,Prauserella,ureolysis,FAPROTAXv1.1
1372,Prerotella,fermentation,FAPROTAXv1.1
1373,Prevotella,"nosZ, fermentation human_pathogens_all xylanolysis","(Graf et al., 2014), FAPROTAXv1.1"
1374,Prevotellaceae,animal_parasites_or_symbionts fermentation xylanolysis,FAPROTAXv1.1
1375,Primorskyibacter,aerobic_chemoheterotrophy,FAPROTAXv1.1
1376,Prochlorococcus,OD-1?,
1377,Prolinoborus,nitrate_respiration,FAPROTAXv1.1
1378,Prolixibacter,non-N,"(Holmes et al., 2007)"
1379,Prolixibacteraceae_family,N fixation,"{Huang, X.-F., et al. (2014)}"
1380,Prolixibacteraceae_family_BSV13,N fixation,"{Huang, X.-F., et al. (2014)}"
1381,Promicromonospora,aerobic_chemoheterotrophy fermentation nitrate_reduction,FAPROTAXv1.1
1382,Promicromonosporaceae,aerobic_chemoheterotrophy cellulolysis fermentation xylanolysis,FAPROTAXv1.1
1383,Propionbacterium,norB,"(Jones et al., 2008)"
1384,Propionibacteriaceae,aerobic_chemoheterotrophy fermentation nitrate_reduction  nitrate_respiration,FAPROTAXv1.1
1385,Propionibacterium,"nirK  norB, fermentation manganese_oxidation nitrate_denitrification","(Graf et al., 2014), FAPROTAXv1.1"
1386,Propionicicella,fermentation,FAPROTAXv1.1
1387,Propionicimonas,fermentation,FAPROTAXv1.1
1388,Propioniferax,nitrate_reduction  ureolysis,FAPROTAXv1.1
1389,Propionispira,nitrogen_fixation,FAPROTAXv1.1
1390,Propionivibrio,Denitrification,"(Brune et al., 2002)"
1391,Prosthecobacter,non-N,
1392,Prosthecochloris,anoxygenic_photoautotrophy_S_oxidizing,FAPROTAXv1.1
1393,Prosthecomicrobium,nitrate_reduction,FAPROTAXv1.1
1394,Proteiniclasticum,fermentation,FAPROTAXv1.1
1395,Proteobacteria,dark_oxidation_of_sulfur_compounds,FAPROTAXv1.1
1396,Proteus,DNRA human_gut human_pathogens_all human_pathogens_diarrhea human_pathogens_pneumonia human_pathogens_septicemia ureolysis,FAPROTAXv1.1
1397,Providencia,human_pathogens_all human_pathogens_gastroenteritis human_pathogens_septicemia ureolysis,FAPROTAXv1.1
1398,Pseudaminobacter,dark_thiosulfate_oxidation,FAPROTAXv1.1
1399,Pseudarthrobacter,Denitrification,"{Busse, H.-J. (2016)}"
1400,Pseudoalteromonas,"nirK  norB, aerobic_chemoheterotrophy chitinolysis nitrate_reduction","(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
1401,Pseudobutyrivibrio,fermentation xylanolysis,FAPROTAXv1.1
1402,Pseudogulbenkiania,"nirS norB  nosZ, dark_iron_oxidation","(Graf et al., 2014), FAPROTAXv1.1"
1403,Pseudokineococcus,aerobic_chemoheterotrophy,FAPROTAXv1.1
1404,Pseudolabrys,"non-N, aerobic_chemoheterotrophy","{K_mpfer, P., et al. (2006)}, FAPROTAXv1.1"
1405,Pseudomonadaceae,aerobic_chemoheterotrophy cellulolysis nitrogen_fixation ureolysis,FAPROTAXv1.1
1406,Pseudomonadales,"N_fix  N_cycle  S_cycle   H2_ox  H2_prod  C1_ox  aerobic, animal_parasites_or_symbionts","(Antharaman et al., 2016), FAPROTAXv1.1"
1407,Pseudomonas,"Denitrification, aerobic_chemoheterotrophy anammox aromatic_compound_degradation aromatic_hydrocarbon_degradation arsenate_respiration cellulolysis dark_hydrogen_oxidation dark_thiosulfate_oxidation denitrification dissimilatory oxidation of arsenite for energy not photosynthesis human_pathogens_all human_pathogens_pneumonia invertebrate_parasites  ligninolysis manganese_oxidation methanol_oxidation methanotrophy nitrate_denitrification nitrate_reduction nitrate_respiration nitrite_respiration nitrous_oxide_denitrification oil_bioremediation plant_pathogen plastic_degradation ureolysis xylanolysis","(Nishimori et al., 2000) (Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
1408,Pseudonocardia,aerobic_ammonia_oxidation aliphatic_non_methane_hydrocarbon_degradation knallgas_bacteria nitrate_reduction  ureolysis,FAPROTAXv1.1
1409,Pseudonocardiaceae,aerobic_chemoheterotrophy,FAPROTAXv1.1
1410,Pseudorhodobacter,"non-N, aerobic_chemoheterotrophy","{Uchino, Y., et al. (2002)}, FAPROTAXv1.1"
1411,Pseudorhodoferax,aerobic_chemoheterotrophy nitrate_reduction  ureolysis,FAPROTAXv1.1
1412,Pseudoruegeria,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
1413,Pseudovibrio,"nirS norB  nosZ, aerobic_chemoheterotrophy fermentation nitrate_denitrification nitrite_denitrification nitrous_oxide_denitrification","(Graf et al., 2014), FAPROTAXv1.1"
1414,Pseudoxanthomonas,nirK  norB,"(Graf et al., 2014)"
1415,Pseudozobellia,aerobic_chemoheterotrophy,FAPROTAXv1.1
1416,Psychrobacter,"nirK  norB, fermentation ureolysis","(Graf et al., 2014), FAPROTAXv1.1"
1417,Psychroflexus,nosZ,"(Jones et al., 2008) , (Graf et al., 2014)"
1418,Psychromonas,"nosZ, fermentation nitrate_denitrification nitrate_reduction","(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
1419,Psychroserpens,aromatic_hydrocarbon_degradation,FAPROTAXv1.1
1420,Psychrosinus,fermentation,FAPROTAXv1.1
1421,Pullulanibacillus,aerobic_chemoheterotrophy,FAPROTAXv1.1
1422,Puniceicoccaceae,aerobic_chemoheterotrophy,FAPROTAXv1.1
1423,Pusillimonas,nirK  norB,"(Graf et al., 2014)"
1424,Pyrinomonas,aerobic_chemoheterotrophy ureolysis xylanolysis,FAPROTAXv1.1
1425,Pyrobaculum,"nirS norB nosZ, arsenate_respiration dark_hydrogen_oxidation dark_thiosulfate_oxidation iron_respiration nitrate_respiration sulfur_respiration thiosulfate_respiration","(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
1426,Pyrococcus,chitinolysis fermentation sulfur_respiration,FAPROTAXv1.1
1427,Pyrodictiaceae,dark_hydrogen_oxidation fermentation knallgas_bacteria nitrate_respiration sulfur_respiration thiosulfate_respiration,FAPROTAXv1.1
